description,attribute_value,cosine_similarity,margin_of_victory
3,3,1.0000002,0.0
24 VAC,24 VAC,1.0,0.14036226
2,2,0.99999976,0.0
24VAC/VDC,24 VAC/VDC,0.9376749,0.1549986
NEMA2,NEMA 2,0.9285911,0.031858623
FAIL-SAFE ELECTRONIC,ELECTRONIC FAILSAFE,0.9202883,0.2944777
NEMA4,NEMA 4,0.9171492,0.036286235
120VAC,120 VAC,0.9024583,0.08059013
CONTROL BALL VALVE,BALL VALVE,0.8816453,0.07864642
250 VAC,230 VAC,0.8503369,0.05195856
24VAC,24 VAC,0.84626746,0.069631994
FLOATING ON/OFF(FAIL IN PLACE),ON/OFF & FLOATING,0.8299404,0.2838593
24-240VAC,240 VAC,0.816564,0.038152993
NEMA4X,NEMA 4X,0.8120453,0.07293552
FAIL-SAFE IN PLACE,ELECTRONIC FAILSAFE,0.78837985,0.06139636
3-WAY CONTROL BALL VALVE,BALL VALVE,0.77809066,0.02413845
1,2,0.77584314,0.0
2-WAY ACTUATED CONTROL BALL VALVE,BALL VALVE,0.74252546,0.0016018152
3-WAY ACTUATED CONTROL BALL VALVE,V-BALL VALVE,0.7295735,0.00019824505
THREE-WAY FLANGED CONTROL BALL VALVE WITH 360 CV CAPACITY,V-BALL VALVE,0.7067934,0.06827074
CONTROL BALL VALVE WITH ELECTRIC ACTUATOR,BALL VALVE,0.70205694,0.010982811
3-way Actuated Control Ball Valve with 441 Cv,V-BALL VALVE,0.6964084,0.052120984
TWO-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 144 CV CAPACITY,V-BALL VALVE,0.68784,0.064258516
THREE-WAY FLANGED CONTROL BALL VALVE WITH 250 CV CAPACITY,V-BALL VALVE,0.68721294,0.051618814
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 400 CV CAPACITY,V-BALL VALVE,0.6862695,0.0530982
THREE-WAY FLANGED CONTROL BALL VALVE WITH 160 CV CAPACITY,V-BALL VALVE,0.68557274,0.05038482
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 346 CV CAPACITY,V-BALL VALVE,0.6845803,0.054454386
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 577 CV CAPACITY,V-BALL VALVE,0.68273664,0.06105888
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 268 CV CAPACITY,V-BALL VALVE,0.682715,0.05363363
3-way Actuated Control Ball Valve with 650 Cv,V-BALL VALVE,0.6808652,0.07151747
3-way Actuated Control Ball Valve with 91 Cv,V-BALL VALVE,0.6806489,0.053133607
3-way Actuated Control Ball Valve with 327 Cv,V-BALL VALVE,0.6805124,0.059705734
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 118 CV CAPACITY,V-BALL VALVE,0.679822,0.053200662
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 152 CV CAPACITY,V-BALL VALVE,0.6794977,0.05326736
ON OFF(FAIL B,ON/OFF,0.6791443,0.15098411
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 309 CV CAPACITY,V-BALL VALVE,0.6788851,0.04660082
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 254 CV CAPACITY,V-BALL VALVE,0.6784961,0.05340755
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 144 CV CAPACITY,V-BALL VALVE,0.67641675,0.06028354
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 197 CV CAPACITY,V-BALL VALVE,0.675847,0.045119464
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 208 CV CAPACITY,V-BALL VALVE,0.6753089,0.05194807
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 185 CV CAPACITY,V-BALL VALVE,0.6749983,0.05183804
THREE-WAY FLANGED ACTUATED CONTROL BALL VALVE WITH 240 CV CAPACITY,V-BALL VALVE,0.67356205,0.045201063
ON OFF(FAIL A,ON/OFF,0.6726416,0.15035129
2.5 INCH,02.25 IN.,0.66685766,0.044409215
2-way Actuated Control Ball Valve with 152 Cv SR modulating actuator,V-BALL VALVE,0.6653981,0.041582644
7.4 CV,7.4,0.66514945,0.0
0.59 CV,0.46,0.6577332,0.0
2 INCH,02.25 IN.,0.656193,0.03897637
ANSI CLASS 150 HIGH PERFORMANCE BUTTERFLY VALVE,CHARACTERIZED CONTROL VALVE,0.6554299,0.03246796
4. INCH,4.7,0.65344906,0.0
2-way Actuated Control Ball Valve with 152 Cv NSR floating actuator,V-BALL VALVE,0.65201247,0.04491508
2-way Actuated Control Ball Valve with 185 Cv SR modulating actuator,V-BALL VALVE,0.651144,0.03798157
0.33 CV,0.3,0.6500839,0.0
2 1/2",02.25 IN.,0.64963293,0.06824857
3-way Actuated Control Ball Valve with 144 Cv SR modulating actuator,V-BALL VALVE,0.6463671,0.041546643
STAINLESS STEEL TRIM,STAINLESS STEEL,0.64538646,0.0
2-way Actuated Control Ball Valve with 240 Cv SR modulating actuator,V-BALL VALVE,0.6451093,0.03543514
3-way Actuated Control Ball Valve with 268 Cv SR modulating actuator,V-BALL VALVE,0.64502525,0.03425181
2-way Actuated Control Ball Valve with 254 Cv NSR floating actuator,V-BALL VALVE,0.6426711,0.03722751
4.7 CV,4.7,0.64217615,0.0
2-way Actuated Control Ball Valve with 400 Cv NSR floating actuator,V-BALL VALVE,0.6411083,0.04252577
0.68 CV,0.73,0.6407049,5.9604645e-08
2-way Actuated Control Ball Valve with 208 Cv NSR floating actuator,V-BALL VALVE,0.6363293,0.03600645
